Name,Address,Type,Description,Image_URL
Texas Christian University,2800 S University Dr Fort Worth TX,School,The campus where I attend college at TCU,https://www.tcu.edu/news/2025/_images/TCUUSNews2026-news-mobile.jpg
Fort Worth Stockyards,131 E Exchange Ave Fort Worth TX,Landmark,Historic district known for cattle drives and western,https://www.fortworthstockyards.org/sites/default/files/styles/large/public/2022-04/Herd.jpeg?itok=W9RTM4AR
Sundance Square,420 Main St Fort Worth TX,Downtown,A popular downtown area with restaurants shops and entertainment.,https://bennett.partners/wp-content/uploads/2022/04/%C2%ACCraigKuhner2014-140410-2593B-5D-panorama.jpg
Fort Worth Zoo,1989 Colonial Pkwy Fort Worth TX,Atraction,One of the top ranked zoos in the United States,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,f_jpg,h_835,q_65,w_639/v1/clients/fortworth/temp_2719c413-e800-433b-9e47-c97a187d335b.jpg"
Kimbell Art Museum,3333 Camp Bowie Blvd Fort Worth TX,Museum,A world famous art museum designed by architect Louis ,https://assets.simpleviewinc.com/simpleview/image/upload/crm/fortworth/Kimbell_LaPrelle_99920_a0c23133-5056-a348-3adbb5f63b79434e.jpg
Joe T Garcia's,2201 N Commerce St Fort Worth TX,Restaurant,A famous Mexican restaurant known for its patio and margaritas,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,f_jpg,h_422,q_65,w_1440/v1/clients/fortworth/Joe_T_s_112_0c447d00-0fec-4988-820f-9320e6f5a58e.jpg"
Clearfork,5188 Monahans Ave Fort Worth TX,Shopping Center,A luxury outdoor shopping and dining area near the Trinity River,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,f_avif,h_545,q_65,w_1439/v1/clients/fortworth/A_S17616_555beabd-cd38-440c-8edf-0ccf9f30cc65.jpg"
Billy Bob's Texas,2520 Rodeo Plaza Fort Worth TX,Entertainment,The world's largest honky tonk music venue located in the Stockyards,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-674x446/0b/85/b2/78.jpg
Fort Worth Botanic Garden,3220 Botanic Garden Blvd Fort Worth TX,Garden,A beautiful botanical garden with walking paths and seasonal flowers,https://fwbg.org/wp-content/uploads/2024/12/fwbg-memberships-access.jpg
Trinity Park,2401 University Dr Fort Worth TX,Park,A large park along the Trinity River with trails and scenic views,https://www.fortworthtexas.gov/files/assets/public/v/1/parks-and-recreation/images/park-pictures/trinity-park/trinity-park-91.jpg?dimension=pageimage&w=480
